,Pan,Label,MSW05_Order,MSW05_Genus,MSW05_Species,AnnualBP,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X9.1_GestationLen_d,X12.1_HabitatBreadth,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,X5.5_AdultBodyMass_g_EXT,X5.6_NeonateBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,Log10.mass_specific_production.,WOS_HITS.x,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,ForStrat.Value,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,BodyMass.Value,torp,mig,IUCN,WOS_HITS.y,aridity,BodySizeRatio,postnatGR,RelAgeSexMat,sppdens,spp.dens.per.km,Craseonycteridae,Emballonuridae,Furipteridae,Hipposideridae,Megadermatidae,Molossidae,Mormoopidae,Mystacinidae,Myzopodidae,Natalidae,Noctilionidae,Nycteridae,Phyllostomidae,Pteropodidae,Rhinolophidae,Rhinopomatidae,Thyropteridae,Vespertilionidae
11,Rousettus_aegyptiacus,1,Chiroptera,Rousettus,aegyptiacus,2,1,134,93.2,167.37,NA,NA,122.64,126,3,123.39,1,NA,1.07,2,274.8,2.951257783,40.04,NA,6.907755279,315.68,NA,2,1,105,4.318820559,NA,NA,NA,15.61987209,37.36,-34.83,1.26,66.84,-17.53,24.65,0,4.335458999,1,0.13,85.78,226.26,828.48,1461.38,0.078948912,220,0,0,0,0,0,0,60,40,0,0,Ar,1,0,0,132.24,1,2,LC,5.398162702,0.058697943,45.40436988,0.013024407,0.038292091,1001,364.1928295,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,Rousettus_amplexicaudatus,1,Chiroptera,Rousettus,amplexicaudatus,2,NA,74.37,76.88,107.63,NA,304.16,102.5,91.5,1,101.38,1,NA,0.99,2,NA,2.48490665,NA,NA,6.715383386,258.65,NA,2,1,86.16,NA,NA,NA,NA,14.75864033,19.57,-10.94,4.31,162.39,95.18,128.79,0,4.812672041,4,0.12,228.98,242.36,1589.95,1732.99,NA,8,0,0,0,0,0,0,60,40,0,0,Ar,1,0,0,82.47,NA,NA,NA,2.197224577,0.132130018,29.92868968,NA,NA,1113,413.4735623,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Cynopterus_brachyotis,0,Chiroptera,Cynopterus,brachyotis,NA,NA,33.87,64.21,NA,NA,NA,47.49,37.4,3,117.06,1,NA,0.99,2,96,1.824549292,NA,NA,NA,251.71,NA,2,1,48.99,NA,NA,NA,NA,14.61321146,27.65,-4.18,11.73,126.6,74.37,100.48,0,5.254940027,4,0.12,195.98,244.45,1328.22,1611.42,NA,53,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,31.15,1,1,LC,3.988984047,0.121619441,18.56348861,NA,0.087399306,657,244.9732008,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Cynopterus_sphinx,1,Chiroptera,Cynopterus,sphinx,2,NA,44.71,71,98.99,0,319.37,NA,NA,2,120,1,NA,1.5,2,NA,2.397895273,NA,NA,1.386294361,312.99,1,2,1,32.49,3.218875825,NA,NA,NA,15.54691102,33.2,-5.94,13.63,119.33,67.57,93.45,1,5.494541829,10,0.09,138.22,233.8,1018.32,1479.68,0.224656594,129,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,43.66,2,1,LC,4.86753445,0.093412089,18.64551822,0.025268715,NA,869,316.7068931,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Emballonura_alecto,0,Chiroptera,Emballonura,alecto,NA,1,5.25,45.99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,13.84911291,18.65,-8.03,5.3,131.74,107.96,119.85,1,4.615120517,4,0.13,239.99,241.82,1651.05,1736.94,NA,2,90,0,0,0,0,0,10,0,0,0,A,0,1,1,5.25,NA,NA,NA,1.098612289,0.138168273,NA,NA,NA,497,189.101284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Eonycteris_spelaea,0,Chiroptera,Eonycteris,spelaea,NA,NA,58.7,69,123.83,NA,NA,47.98,51.6,2,152.18,1,NA,1,2,60,2.681021529,NA,NA,8.006367568,357.41,NA,2,2,59.95,NA,NA,NA,NA,15.17192139,30.46,-10.37,10.04,128.9,74.22,101.56,1,5.100780644,5,0.1,184.62,225.74,1270.52,1539.33,NA,23,0,0,0,0,0,0,0,100,0,0,Ar,1,0,0,58.1,1,1,LC,3.17805383,0.119935297,21.89463955,NA,0.198561111,938,344.9231378,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,Epomops_buettikoferi,0,Chiroptera,Epomops,buettikoferi,NA,NA,135.67,90.16,NA,NA,365,NA,NA,1,139.92,1,NA,0.98,2,NA,3.145444547,NA,NA,0.693147181,275.89,NA,2,1,55.65,3.855664272,NA,NA,NA,13.08073931,10.59,4.35,7.47,9.69,-13.29,-1.79,3,4.46383701,10,0.08,164.99,256.77,1242.61,1569.6,-0.165734036,3,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,133.84,NA,NA,NA,1.386294361,0.105115953,43.13221803,0.012762259,NA,302,117.4575862,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,Haplonycteris_fischeri,0,Chiroptera,Haplonycteris,fischeri,NA,NA,18.25,50.56,NA,NA,410.62,NA,NA,3,174.73,1,NA,1,1,120,1.00795792,34.41,NA,NA,192.91,NA,2,1,76.04,NA,NA,NA,NA,12.39830856,18.65,5.55,12.1,126.6,117.17,121.88,19,5.373888553,29,0.11,202.1,241.6,1470.69,1729.38,NA,7,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,17.96,NA,NA,NA,2.079441542,0.116862691,18.10591457,NA,0.053586111,150,59.5814982,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Hipposideros_armiger,0,Chiroptera,Hipposideros,armiger,NA,NA,49.99,89.49,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,15.3119741,33.01,1.26,17.13,122.13,77.88,100.01,1,5.350672597,9,0.08,143.35,185.89,1069.98,1300.83,NA,29,100,0,0,0,0,0,0,0,0,0,A,1,0,0,53,NA,NA,NA,3.401197382,0.110198873,NA,NA,NA,653,239.3137835,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Hipposideros_caffer,0,Chiroptera,Hipposideros,caffer,NA,NA,9.46,46.5,54.99,NA,730,NA,NA,1,139.92,1,NA,0.99,1,NA,1.026041596,14.89,NA,NA,581.78,NA,2,3,73.48,NA,NA,NA,NA,16.4218764,35.92,-32.97,1.47,52.22,-17.53,17.34,0,3.710396298,1,0.14,88.43,234.64,906.32,1532.23,NA,18,100,0,0,0,0,0,0,0,0,0,A,1,0,0,9.45,NA,NA,NA,2.944438979,0.057713268,9.219899114,NA,NA,947,338.3817396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
